<TICKER>,<PER>,<DATE>,<TIME>,<VOL>
SiH0 [SPBFUT],10,20191016,190000,11734.000000
SiH0 [SPBFUT],10,20191016,191000,12832.000000
SiH0 [SPBFUT],10,20191016,192000,11481.000000
SiH0 [SPBFUT],10,20191016,193000,5530.000000
SiH0 [SPBFUT],10,20191016,194000,5593.000000
SiH0 [SPBFUT],10,20191016,195000,3625.000000
SiH0 [SPBFUT],10,20191016,200000,3230.000000
SiH0 [SPBFUT],10,20191016,201000,2549.000000
SiH0 [SPBFUT],10,20191016,202000,2407.000000
SiH0 [SPBFUT],10,20191016,203000,1378.000000
SiH0 [SPBFUT],10,20191016,204000,4687.000000
SiH0 [SPBFUT],10,20191016,205000,1393.000000
SiH0 [SPBFUT],10,20191016,210000,1451.000000
SiH0 [SPBFUT],10,20191016,211000,2434.000000
SiH0 [SPBFUT],10,20191016,212000,1518.000000
SiH0 [SPBFUT],10,20191016,213000,951.000000
SiH0 [SPBFUT],10,20191016,214000,1913.000000
SiH0 [SPBFUT],10,20191016,215000,2391.000000
SiH0 [SPBFUT],10,20191016,220000,3644.000000
SiH0 [SPBFUT],10,20191016,221000,2642.000000
SiH0 [SPBFUT],10,20191016,222000,885.000000
SiH0 [SPBFUT],10,20191016,223000,2313.000000
SiH0 [SPBFUT],10,20191016,224000,2522.000000
SiH0 [SPBFUT],10,20191016,225000,7187.000000
SiH0 [SPBFUT],10,20191016,230000,2224.000000
SiH0 [SPBFUT],10,20191016,231000,3045.000000
SiH0 [SPBFUT],10,20191016,232000,8511.000000
SiH0 [SPBFUT],10,20191016,233000,5886.000000
SiH0 [SPBFUT],10,20191016,234000,3091.000000
SiH0 [SPBFUT],10,20191017,100000,47682.000000
SiH0 [SPBFUT],10,20191017,101000,52193.000000
SiH0 [SPBFUT],10,20191017,102000,29250.000000
SiH0 [SPBFUT],10,20191017,103000,51604.000000
SiH0 [SPBFUT],10,20191017,104000,29415.000000
SiH0 [SPBFUT],10,20191017,105000,34154.000000
SiH0 [SPBFUT],10,20191017,110000,21112.000000
SiH0 [SPBFUT],10,20191017,111000,14495.000000
SiH0 [SPBFUT],10,20191017,112000,11391.000000
SiH0 [SPBFUT],10,20191017,113000,15300.000000
SiH0 [SPBFUT],10,20191017,114000,16606.000000
SiH0 [SPBFUT],10,20191017,115000,7906.000000
SiH0 [SPBFUT],10,20191017,120000,15264.000000
SiH0 [SPBFUT],10,20191017,121000,9203.000000
SiH0 [SPBFUT],10,20191017,122000,15119.000000
SiH0 [SPBFUT],10,20191017,123000,76308.000000
SiH0 [SPBFUT],10,20191017,124000,30121.000000
SiH0 [SPBFUT],10,20191017,125000,25902.000000
SiH0 [SPBFUT],10,20191017,130000,55104.000000
SiH0 [SPBFUT],10,20191017,131000,14967.000000
SiH0 [SPBFUT],10,20191017,132000,10479.000000
SiH0 [SPBFUT],10,20191017,133000,13002.000000
SiH0 [SPBFUT],10,20191017,134000,7523.000000
SiH0 [SPBFUT],10,20191017,135000,10273.000000
SiH0 [SPBFUT],10,20191017,140000,19808.000000
SiH0 [SPBFUT],10,20191017,141000,34710.000000
SiH0 [SPBFUT],10,20191017,142000,11839.000000
SiH0 [SPBFUT],10,20191017,143000,9050.000000
SiH0 [SPBFUT],10,20191017,144000,16708.000000
SiH0 [SPBFUT],10,20191017,145000,20808.000000
SiH0 [SPBFUT],10,20191017,150000,14567.000000
SiH0 [SPBFUT],10,20191017,151000,31877.000000
SiH0 [SPBFUT],10,20191017,152000,24728.000000
SiH0 [SPBFUT],10,20191017,153000,19648.000000
SiH0 [SPBFUT],10,20191017,154000,22807.000000
SiH0 [SPBFUT],10,20191017,155000,20356.000000
SiH0 [SPBFUT],10,20191017,160000,15810.000000
SiH0 [SPBFUT],10,20191017,161000,15183.000000
SiH0 [SPBFUT],10,20191017,162000,11323.000000
SiH0 [SPBFUT],10,20191017,163000,15770.000000
SiH0 [SPBFUT],10,20191017,164000,11824.000000
SiH0 [SPBFUT],10,20191017,165000,14159.000000
SiH0 [SPBFUT],10,20191017,170000,9493.000000
SiH0 [SPBFUT],10,20191017,171000,76633.000000
SiH0 [SPBFUT],10,20191017,172000,24746.000000
SiH0 [SPBFUT],10,20191017,173000,25220.000000
SiH0 [SPBFUT],10,20191017,174000,12210.000000
SiH0 [SPBFUT],10,20191017,175000,24258.000000
SiH0 [SPBFUT],10,20191017,180000,37065.000000
SiH0 [SPBFUT],10,20191017,181000,10829.000000
SiH0 [SPBFUT],10,20191017,182000,7696.000000
SiH0 [SPBFUT],10,20191017,183000,31253.000000
SiH0 [SPBFUT],10,20191017,184000,12747.000000
SiH0 [SPBFUT],10,20191017,190000,44399.000000
SiH0 [SPBFUT],10,20191017,191000,23074.000000
SiH0 [SPBFUT],10,20191017,192000,38091.000000
SiH0 [SPBFUT],10,20191017,193000,68578.000000
SiH0 [SPBFUT],10,20191017,194000,48795.000000
SiH0 [SPBFUT],10,20191017,195000,21392.000000
SiH0 [SPBFUT],10,20191017,200000,28073.000000
SiH0 [SPBFUT],10,20191017,201000,23880.000000
SiH0 [SPBFUT],10,20191017,202000,10188.000000
SiH0 [SPBFUT],10,20191017,203000,23178.000000
SiH0 [SPBFUT],10,20191017,204000,23181.000000
SiH0 [SPBFUT],10,20191017,205000,7746.000000
SiH0 [SPBFUT],10,20191017,210000,11120.000000
SiH0 [SPBFUT],10,20191017,211000,8214.000000
SiH0 [SPBFUT],10,20191017,212000,5296.000000
SiH0 [SPBFUT],10,20191017,213000,4598.000000
SiH0 [SPBFUT],10,20191017,214000,1674.000000
SiH0 [SPBFUT],10,20191017,215000,2784.000000
SiH0 [SPBFUT],10,20191017,220000,1621.000000
SiH0 [SPBFUT],10,20191017,221000,3864.000000
SiH0 [SPBFUT],10,20191017,222000,5927.000000
SiH0 [SPBFUT],10,20191017,223000,1699.000000
SiH0 [SPBFUT],10,20191017,224000,837.000000
SiH0 [SPBFUT],10,20191017,225000,4387.000000
SiH0 [SPBFUT],10,20191017,230000,2002.000000
SiH0 [SPBFUT],10,20191017,231000,2305.000000
SiH0 [SPBFUT],10,20191017,232000,4496.000000
SiH0 [SPBFUT],10,20191017,233000,9244.000000
SiH0 [SPBFUT],10,20191017,234000,9378.000000
SiH0 [SPBFUT],10,20191018,100000,66882.000000
SiH0 [SPBFUT],10,20191018,101000,49030.000000
SiH0 [SPBFUT],10,20191018,102000,11968.000000
SiH0 [SPBFUT],10,20191018,103000,19851.000000
SiH0 [SPBFUT],10,20191018,104000,23397.000000
SiH0 [SPBFUT],10,20191018,105000,23228.000000
SiH0 [SPBFUT],10,20191018,110000,16859.000000
SiH0 [SPBFUT],10,20191018,111000,10015.000000
SiH0 [SPBFUT],10,20191018,112000,12361.000000
SiH0 [SPBFUT],10,20191018,113000,28205.000000
SiH0 [SPBFUT],10,20191018,114000,15660.000000
SiH0 [SPBFUT],10,20191018,115000,6140.000000
SiH0 [SPBFUT],10,20191018,120000,10830.000000
SiH0 [SPBFUT],10,20191018,121000,11534.000000
SiH0 [SPBFUT],10,20191018,122000,18858.000000
SiH0 [SPBFUT],10,20191018,123000,15767.000000
SiH0 [SPBFUT],10,20191018,124000,15672.000000
SiH0 [SPBFUT],10,20191018,125000,8124.000000
SiH0 [SPBFUT],10,20191018,130000,6456.000000
SiH0 [SPBFUT],10,20191018,131000,6426.000000
SiH0 [SPBFUT],10,20191018,132000,3416.000000
SiH0 [SPBFUT],10,20191018,133000,9218.000000
SiH0 [SPBFUT],10,20191018,134000,10227.000000
SiH0 [SPBFUT],10,20191018,135000,5334.000000
SiH0 [SPBFUT],10,20191018,140000,4529.000000
SiH0 [SPBFUT],10,20191018,141000,5664.000000
SiH0 [SPBFUT],10,20191018,142000,4813.000000
SiH0 [SPBFUT],10,20191018,143000,3677.000000
SiH0 [SPBFUT],10,20191018,144000,10125.000000
SiH0 [SPBFUT],10,20191018,145000,3499.000000
SiH0 [SPBFUT],10,20191018,150000,18368.000000
SiH0 [SPBFUT],10,20191018,151000,17393.000000
SiH0 [SPBFUT],10,20191018,152000,8000.000000
SiH0 [SPBFUT],10,20191018,153000,6626.000000
SiH0 [SPBFUT],10,20191018,154000,4255.000000
SiH0 [SPBFUT],10,20191018,155000,4288.000000
SiH0 [SPBFUT],10,20191018,160000,55612.000000
SiH0 [SPBFUT],10,20191018,161000,11747.000000
SiH0 [SPBFUT],10,20191018,162000,12001.000000
SiH0 [SPBFUT],10,20191018,163000,23712.000000
SiH0 [SPBFUT],10,20191018,164000,10819.000000
SiH0 [SPBFUT],10,20191018,165000,9706.000000
SiH0 [SPBFUT],10,20191018,170000,10103.000000
SiH0 [SPBFUT],10,20191018,171000,25120.000000
SiH0 [SPBFUT],10,20191018,172000,15866.000000
SiH0 [SPBFUT],10,20191018,173000,18562.000000
SiH0 [SPBFUT],10,20191018,174000,16275.000000
SiH0 [SPBFUT],10,20191018,175000,16933.000000
SiH0 [SPBFUT],10,20191018,180000,6351.000000
